Species	Order	Family	Genus	AdultBodyMassGrams	SexualMaturityAgeDays	MaxLongevity	LitterSize	LittersPerYear	BasalMetRate	Temp_Mean_01degC
Trichosurus_vulpecula	Diprotodontia	Phalangeridae	Trichosurus	2685.39	420.91	190.8	1.02	1.5	624.33	18.267
Tupaia_chinensis	Scandentia	Tupaiidae	Tupaia	200	122	120	2	7.5	NA	NA
Tursiops_truncatus	Artiodactyla	Delphinidae	Tursiops	281040.55	3354.8	619.2	0.98	0.5	NA	NA
Urocitellus_parryii	Rodentia	Sciuridae	Urocitellus	747.09	420.91	NA	6.5	1	NA	-10.36
Ursus_americanus	Carnivora	Ursidae	Ursus	110500	1448.45	408	2.39	0.5	24365.4	0.389
Ursus_arctos	Carnivora	Ursidae	Ursus	196287.5	1327.95	600	2.24	0.33	20790.6	-4.656
Ursus_maritimus	Carnivora	Ursidae	Ursus	371703.81	1850.26	525.6	1.66	0.4	44346	NA
Vicugna_pacos	Artiodactyla	Camelidae	Vicugna	62000	466	309.6	1.04	1	NA	NA
Vombatus_ursinus	Diprotodontia	Vombatidae	Vombatus	26000	755.15	360	1	0.5	NA	12.965
Vulpes_lagopus	Carnivora	Canidae	Vulpes	3584.37	293.89	195.6	7.65	1	1627.2	-9.038
Vulpes_vulpes	Carnivora	Canidae	Vulpes	4820.36	321.07	255.6	4.59	1	2152.8	3.432
Zalophus_californianus	Carnivora	Otariidae	Zalophus	137194.86	2023.55	428.4	1.41	0.5	NA	NA
